"full_name","url","description","language","stars","forks","archived","created_at","updated_at","pushed_at","topics"
"GITenberg/Wayside-Sketches-in-Tasmania_66275","https://github.com/GITenberg/Wayside-Sketches-in-Tasmania_66275","Wayside Sketches in Tasmania by S. H. Wintle is a Project Gutenberg book, now on Github.","HTML","0","0","False","2021-09-13T22:13:01Z","2021-09-14T03:43:53Z","2021-09-14T03:43:50Z",""
"momentum-cohort-2020-01/django-freeshelf-team-tasmanian-devil","https://github.com/momentum-cohort-2020-01/django-freeshelf-team-tasmanian-devil",,"Python","0","1","False","2020-02-27T20:35:45Z","2020-03-03T14:22:18Z","2020-03-04T14:20:12Z",""
"EliCarli/VarDyn_south_Tasmania_dataset","https://github.com/EliCarli/VarDyn_south_Tasmania_dataset",,"nesC","0","0","False","2025-05-19T07:09:09Z","2025-08-01T12:35:13Z","2025-08-01T12:35:09Z",""
"hastings-lab/tasmanian-devil-sei-models-teamawesome","https://github.com/hastings-lab/tasmanian-devil-sei-models-teamawesome","tasmanian-devil-sei-models-teamawesome created by GitHub Classroom",,"0","0","False","2018-05-21T23:28:00Z","2018-05-21T23:28:13Z","2018-05-21T23:28:12Z",""
"FyreDay/-Archipelago-TyTheTasmanianTiger","https://github.com/FyreDay/-Archipelago-TyTheTasmanianTiger","A Copy of xMcacutt's repo","Python","0","0","False","2025-11-07T21:56:55Z","2025-11-07T21:58:32Z","2025-11-07T21:58:22Z",""
"JoshHawkins/PythonGIS","https://github.com/JoshHawkins/PythonGIS","Repository for Hydro Tasmania's Python GIS Scripts",,"0","0","False","2018-02-19T00:35:32Z","2018-02-19T00:35:32Z","2018-02-19T00:35:32Z",""
"failure-driven/railscamp-hobart-2018-slides","https://github.com/failure-driven/railscamp-hobart-2018-slides","RailsCamp 24 at Woodfield Hobart Tasmania Australia - slides","HTML","0","0","False","2019-01-08T10:27:02Z","2020-05-25T00:30:35Z","2019-04-26T21:53:15Z",""
"vroloff/ads_rwd_diabo_da_tasmania","https://github.com/vroloff/ads_rwd_diabo_da_tasmania",,"HTML","0","0","False","2021-05-10T22:13:23Z","2021-05-10T22:31:45Z","2021-05-10T22:31:43Z",""
"TasmanianCat/The-Tasmanian-Cat-Studio.-May-2022","https://github.com/TasmanianCat/The-Tasmanian-Cat-Studio.-May-2022",,"HTML","0","0","False","2022-10-18T18:43:53Z","2022-10-18T18:49:02Z","2022-10-18T18:43:58Z",""
"Amilwickz/University-of-Tasmania-Ember-Project","https://github.com/Amilwickz/University-of-Tasmania-Ember-Project","Ember Project codes","Python","0","0","False","2023-05-19T00:29:57Z","2023-05-19T00:32:00Z","2023-05-31T06:43:46Z",""
"arashsm79/tasmanian-devil-gene-enrichment-analysis","https://github.com/arashsm79/tasmanian-devil-gene-enrichment-analysis","The Tasmanian devil is endangered due to Devil Facial Tumour Disease (DFTD), a contagious cancer with no current treatment. Previous study has investigated the anticancer properties of Tasmanian devil cathelicidins. This report intends to reproduce the enrichment analysis results of the study and further analyze their data.","TeX","0","0","False","2024-08-06T08:50:38Z","2024-08-06T09:17:14Z","2024-08-06T09:17:11Z","bioinformatics;cancer;edaseq;edger;gene-expression;gene-ontology;gene-set-enrichment-analysis;gsea;limma;multidimensional-scaling;r;rna-seq;tasmanian-devil"
"Maksym-Tykhonenko/HobartSecretsTasmaniaCountyOlya","https://github.com/Maksym-Tykhonenko/HobartSecretsTasmaniaCountyOlya",,"TypeScript","0","0","False","2026-01-08T13:14:36Z","2026-01-08T14:22:27Z","2026-01-08T14:22:24Z",""
"travistyzero/hydro-data","https://github.com/travistyzero/hydro-data","Parses Hydro Tasmania Dam levels spreadsheet to JSON","JavaScript","0","0","False","2016-03-13T07:54:24Z","2016-03-15T04:15:14Z","2016-04-18T05:08:22Z",""
"mjec/metro-data","https://github.com/mjec/metro-data","Information from Metro Tasmania regarding on-time performance",,"0","0","False","2013-08-15T01:59:44Z","2013-10-10T03:15:52Z","2013-08-15T03:35:07Z",""
"LamuelCH/spOccupancy_TAS","https://github.com/LamuelCH/spOccupancy_TAS","spatial factor multi species occupancy model for tasmania",,"0","0","False","2025-02-18T00:40:30Z","2025-02-18T00:40:33Z","2025-02-18T00:40:31Z",""
"FyreDay/Archipelago-TyTheTasmanianTiger2","https://github.com/FyreDay/Archipelago-TyTheTasmanianTiger2",,"Python","0","0","False","2025-05-12T03:57:39Z","2026-02-06T21:05:18Z","2026-02-06T21:32:01Z",""
"Jonah-Wilbur/Tasmanian-devil-facial-tumour-disease-dynamics","https://github.com/Jonah-Wilbur/Tasmanian-devil-facial-tumour-disease-dynamics","A project to investigate the dynamics of the transmissible mammalian cancer that is currently threatening the survival of Tasmanian Devils as a species","Jupyter Notebook","0","0","False","2024-03-06T23:12:11Z","2025-01-17T02:48:27Z","2025-01-17T02:48:26Z",""
